26,1146,3827,softball,balle molle,Ball Diamond (T-Ball),Terrain de balle (Tee ball),baseball,55,55,no/non,no/non,no/non,yes/oui,no/non,no/non,no/non,no/non,yes/oui,no/non,no/non,None,None,None,2015-08-26 14:31,None
27,968,3874,softball,balle molle,Ball Diamond,Terrain de balle,standard,60,52,no/non,no/non,no/non,yes/oui,no/non,no/non,yes/oui,no/non,yes/oui,no/non,no/non,None,None,None,None,None
28,444,33078,softball,balle molle,Ball Diamond - Softball,Terrain de balle - Balle molle,baseball,75,70,no/non,no/non,no/non,yes/oui,no/non,no/non,no/non,no/non,yes/oui,no/non,no/non,None,None,None,None,None
29,597,33105,softball,balle molle,Ball Diamond - Softball,Terrain de balle - Balle molle,other,64,62,no/non,no/non,no/non,yes/oui,no/non,no/non,no/non,no/non,yes/oui,no/non,no/non,None,None,None,None,None
30,960,33153,softball,balle molle,Ball Diamond (Minors),Terrain de balle (ligues mineures),baseball,67,64,no/non,yes/oui,yes/oui,yes/oui,no/non,no/non,yes/oui,no/non,yes/oui,yes/oui,no/non,None,None,None,None,None
31,943,33151,T-Ball,tee ball,T-Ball,Terrain de tee ball,baseball,25,30,no/non,no/non,no/non,no/non,no/non,no/non,yes/oui,no/non,no/non,no/non,no/non,None,None,None,None,None
32,943,33152,softball,balle molle,Ball Diamond,Terrain de balle,baseball,75,74,yes/oui,yes/oui,yes/oui,yes/oui,yes/oui,no/non,yes/oui,yes/oui,yes/oui,yes/oui,no/non,None,None,None,None,None
33,182,3812,softball,balle molle,Ball Diamond 02,Terrain de balle 02,baseball,90,90,no/non,yes/oui,yes/oui,yes/oui,no/non,yes/oui,yes/oui,yes/oui,yes/oui,yes/oui,no/non,None,None,None,None,None
34,182,33026,baseball,baseball,Ball Diamond 01 - Minor Baseball,Terrain de balle 01 - Ligue mineure de baseball,baseball,60,60,yes/oui,yes/oui,yes/oui,yes/oui,no/non,yes/oui,yes/oui,no/non,yes/oui,no/non,yes/oui,None,None,None,None,None
35,22,3830,softball,balle molle,Ball Diamond 01 - North,Terrain de balle 01 - Nord,baseball,60,56,no/non,no/non,yes/oui,yes/oui,no/non,no/non,yes/oui,no/non,yes/oui,no/non,no/non,None,None,None,None,None
